Delivery_ID,Date,Region,Product_Type,Quantity_kg,Distance_km,Vehicle_Type,Weather,Traffic_Level,Logistics_Partner,Temperature_C,Predicted_Time_hr,Delivery_Time_hr,Delay_Min,Fuel_Efficiency_km_per_litre,Fuel_Cost_USD,Customer_Rating,Delivery_Status,Payment_Status
5021,06/03/2023,Kano,Frozen Fish,897,375,Truck,Sunny,High,EcoMove,34.2,5.97,8.35,142.8,6.76,77.66,1,Delayed,Paid
5022,23/09/2024,Lagos,Frozen Fish,531,68,Motorcycle,Sunny,Medium,FishFleet,25.6,1.04,1.04,0,4.74,20.08,3.6,On-Time,Paid
5023,28/07/2024,Enugu,Frozen Fish,477,98,Van,Rainy,Medium,MarineXpress,31.1,1.83,3.08,75,4.96,27.66,1.9,Delayed,Paid
5024,13/10/2023,Kano,Fresh Fish,234,336,Truck,Sunny,Medium,FishFleet,33.6,6.22,6.22,0,6.34,74.2,4.5,On-Time,Paid
5025,02/03/2023,Ibadan,Fresh Fish,765,130,Truck,Rainy,Medium,MarineXpress,34.5,2.64,3.36,43.2,4.22,43.13,4.9,Delayed,Paid
5026,21/04/2023,Kano,Frozen Fish,630,694,Motorcycle,Rainy,High,BlueWave Logistics,29.1,15.74,17.87,127.8,5.96,163.02,1.2,Delayed,Paid
5027,09/11/2023,Benin,Fresh Fish,425,212,Van,Sunny,High,MarineXpress,33.3,4.5,5.07,34.2,4.19,70.84,3.6,Delayed,Paid
5028,24/04/2023,Ibadan,Fresh Fish,728,356,Truck,Rainy,Medium,MarineXpress,30.9,5.61,6.54,55.8,8.02,62.14,2.7,Delayed,Paid
5029,02/06/2024,Kano,Fresh Fish,979,736,Truck,Sunny,Low,EcoMove,33.9,15.36,15.36,0,9.84,104.72,5,On-Time,Paid
5030,06/02/2024,Kano,Frozen Fish,495,506,Truck,Sunny,Medium,EcoMove,28.5,9.48,9.48,0,9.66,73.33,4.7,On-Time,Paid
5031,13/03/2024,Ibadan,Fresh Fish,1085,661,Van,Sunny,High,FishFleet,32.6,16.02,18.03,120.6,10.87,85.13,1.1,Delayed,Pending
5032,02/05/2023,Lagos,Fresh Fish,1270,125,Van,Sunny,Medium,FishFleet,32.7,2.27,2.27,0,4.78,36.61,5,On-Time,Paid
5033,14/02/2024,Port Harcourt,Fresh Fish,615,60,Motorcycle,Rainy,High,MarineXpress,24.9,1.04,3.08,122.4,9.4,8.94,1.6,Delayed,Paid
5034,18/09/2023,Port Harcourt,Frozen Fish,921,118,Motorcycle,Sunny,Medium,BlueWave Logistics,29.2,2.66,2.66,0,10.53,15.69,4.4,On-Time,Pending
5035,05/12/2024,Enugu,Frozen Fish,534,727,Truck,Rainy,Low,EcoMove,29.4,15.15,15.83,40.8,11.36,89.6,3.2,Delayed,Paid
5036,09/01/2023,Enugu,Fresh Fish,385,523,Motorcycle,Sunny,Medium,FishFleet,28.5,11.88,11.88,0,10.32,70.95,5,On-Time,Paid
5037,01/11/2023,Port Harcourt,Frozen Fish,1402,300,Motorcycle,Sunny,Medium,BlueWave Logistics,25,6.63,6.63,0,8.23,51.03,5,On-Time,Paid
5038,25/04/2024,Lagos,Frozen Fish,786,261,Van,Stormy,Low,FishFleet,36.5,3.76,5.09,79.8,7.6,48.08,1.8,Delayed,Paid
5039,07/03/2024,Kano,Frozen Fish,726,174,Truck,Sunny,Medium,BlueWave Logistics,32.9,2.88,2.88,0,7.05,34.55,4.7,On-Time,Paid
5040,12/05/2023,Enugu,Frozen Fish,1490,168,Truck,Sunny,High,FishFleet,26.5,3.03,5.33,138,10.19,23.08,1.1,Delayed,Paid
5041,13/03/2023,Lagos,Frozen Fish,1210,133,Truck,Rainy,Low,FishFleet,27.7,2.18,3.87,101.4,10.29,18.1,1.5,Delayed,Paid
5042,05/03/2024,Lagos,Frozen Fish,323,756,Truck,Sunny,Medium,BlueWave Logistics,37.9,12.86,12.86,0,11.2,94.5,5,On-Time,Paid
5043,07/03/2023,Enugu,Frozen Fish,1431,732,Motorcycle,Rainy,Low,BlueWave Logistics,26.4,13.48,14.36,52.8,4.28,239.44,3.1,Delayed,Paid
5044,09/03/2024,Port Harcourt,Frozen Fish,280,195,Motorcycle,Sunny,Low,EcoMove,31.1,4.08,4.08,0,11,24.82,4.9,On-Time,Paid
5045,07/03/2024,Ibadan,Frozen Fish,280,590,Van,Sunny,Medium,EcoMove,30.8,11.34,11.34,0,4.29,192.54,4.5,On-Time,Paid
5046,17/02/2023,Kaduna,Fresh Fish,1188,419,Van,Rainy,Medium,BlueWave Logistics,34.7,8.62,9.87,75,7.76,75.59,3.1,Delayed,Pending
5047,24/11/2023,Port Harcourt,Frozen Fish,759,261,Truck,Sunny,Low,BlueWave Logistics,32,4.9,4.9,0,9.61,38.02,4.8,On-Time,Paid
5048,21/08/2023,Ibadan,Fresh Fish,564,557,Van,Stormy,High,EcoMove,26,10.49,12.47,118.8,7.72,101.01,1.7,Delayed,Paid
5049,24/07/2023,Port Harcourt,Frozen Fish,161,655,Van,Sunny,Low,BlueWave Logistics,31.3,9.44,9.44,0,8.78,104.44,4.7,On-Time,Paid
5050,08/09/2023,Kano,Fresh Fish,1219,266,Truck,Sunny,High,FishFleet,30.6,6.04,7.76,103.2,6.2,60.06,1,Delayed,Paid
5051,08/04/2024,Ibadan,Fresh Fish,982,196,Van,Stormy,Low,BlueWave Logistics,28.1,3.11,4.74,97.8,7.39,37.13,1,Delayed,Paid
5052,10/07/2023,Benin,Frozen Fish,1422,241,Truck,Rainy,Low,MarineXpress,27.1,3.83,5.08,75,6.89,48.97,2.6,Delayed,Paid
5053,22/01/2024,Kaduna,Frozen Fish,1109,725,Truck,Rainy,High,BlueWave Logistics,30.8,12.95,16.53,214.8,5.82,174.4,1,Delayed,Paid
5054,20/08/2024,Port Harcourt,Fresh Fish,1281,82,Van,Sunny,Low,EcoMove,28.4,1.3,1.3,0,4.1,28,4.9,On-Time,Paid
5055,02/05/2024,Kaduna,Fresh Fish,53,356,Van,Sunny,Medium,MarineXpress,30.7,5.8,5.8,0,8.31,59.98,5,On-Time,Paid
5056,09/07/2024,Lagos,Frozen Fish,1193,408,Van,Rainy,Medium,MarineXpress,31,6.59,7.35,45.6,7.58,75.36,2.4,Delayed,Paid
5057,25/04/2023,Benin,Fresh Fish,158,776,Van,Sunny,Medium,BlueWave Logistics,31.8,13.42,13.42,0,4.88,222.62,4.4,On-Time,Pending
5058,18/09/2023,Kano,Frozen Fish,1151,767,Truck,Sunny,Medium,BlueWave Logistics,26.3,16.67,16.67,0,9.14,117.48,4.1,On-Time,Pending
5059,10/01/2023,Lagos,Fresh Fish,788,51,Motorcycle,Rainy,High,MarineXpress,28.9,0.74,2.59,111,7.88,9.06,1.9,Delayed,Paid
5060,25/11/2024,Ibadan,Frozen Fish,98,353,Van,Sunny,Medium,EcoMove,26.3,5.94,5.94,0,10.42,47.43,5,On-Time,Paid
5061,28/06/2023,Ibadan,Frozen Fish,1182,617,Motorcycle,Sunny,Medium,EcoMove,26.3,8.92,8.92,0,5.36,161.16,5,On-Time,Paid
5062,06/07/2024,Enugu,Frozen Fish,529,465,Motorcycle,Sunny,Medium,EcoMove,33,11.11,11.11,0,9.4,69.26,4.8,On-Time,Pending
5063,11/07/2024,Lagos,Frozen Fish,1445,157,Truck,Sunny,Low,MarineXpress,31.5,2.86,2.86,0,4.11,53.48,4.4,On-Time,Paid
5064,08/02/2023,Benin,Fresh Fish,571,631,Motorcycle,Rainy,Medium,FishFleet,35.6,9.86,11.52,99.6,9.19,96.13,1.5,Delayed,Paid
5065,21/04/2024,Lagos,Fresh Fish,974,311,Motorcycle,Rainy,High,FishFleet,24.2,5.77,8.14,142.2,7.96,54.7,1,Delayed,Paid
5066,21/01/2023,Lagos,Fresh Fish,425,272,Truck,Rainy,Low,MarineXpress,28.7,5.03,6.4,82.2,10.3,36.97,2.2,Delayed,Paid
5067,28/04/2023,Lagos,Fresh Fish,1196,658,Truck,Stormy,Low,MarineXpress,28.1,15.83,17.29,87.6,8.48,108.63,1.2,Delayed,Paid
5068,26/07/2023,Kaduna,Frozen Fish,637,292,Motorcycle,Sunny,Low,BlueWave Logistics,36.5,5.39,5.39,0,7.08,57.74,5,On-Time,Paid
5069,11/01/2024,Enugu,Frozen Fish,684,310,Truck,Stormy,Medium,MarineXpress,27.1,4.63,5.69,63.6,8.71,49.83,2.3,Delayed,Pending
5070,07/06/2023,Port Harcourt,Fresh Fish,698,72,Motorcycle,Sunny,Low,EcoMove,28.2,1.05,1.05,0,4.21,23.94,4.5,On-Time,Pending
5071,23/02/2024,Kano,Frozen Fish,1163,289,Truck,Sunny,Medium,BlueWave Logistics,35.1,5.69,5.69,0,6.91,58.55,4.7,On-Time,Paid
5072,30/03/2023,Kano,Fresh Fish,1222,547,Van,Sunny,Low,FishFleet,36.7,11.29,11.29,0,7.32,104.62,4.6,On-Time,Pending
5073,24/09/2023,Kano,Frozen Fish,1074,484,Van,Sunny,High,FishFleet,21.5,8.25,10.04,107.4,7.24,93.59,1.9,Delayed,Paid
5074,07/01/2023,Kaduna,Fresh Fish,1493,28,Motorcycle,Rainy,Medium,BlueWave Logistics,31.4,0.42,1.41,59.4,10.13,3.87,2.9,Delayed,Paid
5075,03/08/2024,Enugu,Frozen Fish,772,15,Van,Sunny,Medium,FishFleet,26.1,0.22,0.22,0,8.8,2.39,5,On-Time,Paid
5076,13/09/2024,Benin,Fresh Fish,416,643,Truck,Stormy,Low,EcoMove,34.6,11.22,12.8,94.8,5.19,173.45,1.8,Delayed,Paid
5077,10/07/2023,Enugu,Fresh Fish,195,290,Van,Stormy,High,EcoMove,33.3,4.35,7.21,171.6,7.7,52.73,1,Delayed,Paid
5078,21/11/2024,Kaduna,Fresh Fish,662,791,Truck,Stormy,High,FishFleet,27.5,13.72,16.65,175.8,7.6,145.71,1,Delayed,Paid
5079,04/10/2023,Benin,Frozen Fish,886,680,Van,Sunny,Medium,EcoMove,27.1,14.32,14.32,0,11.6,82.07,5,On-Time,Pending
5080,10/12/2023,Lagos,Frozen Fish,281,778,Truck,Stormy,Low,EcoMove,28.2,14.28,15.74,87.6,4.84,225.04,3,Delayed,Paid
5081,11/04/2023,Ibadan,Frozen Fish,668,134,Truck,Sunny,Medium,BlueWave Logistics,30.8,2.02,2.02,0,5.84,32.12,5,On-Time,Paid
5082,17/03/2023,Lagos,Fresh Fish,518,747,Van,Stormy,Medium,FishFleet,24.7,11.76,12.69,55.8,8.25,126.76,3.5,Delayed,Paid
5083,16/04/2023,Kano,Frozen Fish,261,384,Truck,Stormy,Low,MarineXpress,27.5,5.83,7.36,91.8,6.97,77.13,1.8,Delayed,Paid
5084,03/09/2023,Lagos,Fresh Fish,1179,791,Motorcycle,Sunny,Low,EcoMove,32.8,13.26,13.26,0,7.34,150.87,4.6,On-Time,Paid
5085,19/03/2023,Kaduna,Fresh Fish,314,434,Truck,Rainy,Low,BlueWave Logistics,28.4,6.92,7.34,25.2,9.87,61.56,4.2,Delayed,Paid
5086,08/11/2023,Kano,Fresh Fish,1331,244,Van,Sunny,High,MarineXpress,30.4,5.28,7.12,110.4,7.97,42.86,1.3,Delayed,Paid
5087,22/04/2024,Ibadan,Frozen Fish,674,556,Motorcycle,Stormy,Low,BlueWave Logistics,25.9,10.44,12.02,94.8,8.66,89.88,2.7,Delayed,Paid
5088,12/09/2023,Benin,Fresh Fish,1419,150,Motorcycle,Sunny,Medium,EcoMove,29.5,2.41,2.41,0,8.2,25.61,4.9,On-Time,Paid
5089,23/05/2024,Benin,Fresh Fish,1284,296,Van,Stormy,Low,MarineXpress,29.8,6.28,7.31,61.8,7.61,54.45,2.5,Delayed,Paid
5090,04/10/2024,Kano,Fresh Fish,1066,316,Truck,Sunny,Medium,FishFleet,31.2,4.68,4.68,0,10.76,41.12,4.8,On-Time,Paid
5091,30/10/2024,Port Harcourt,Frozen Fish,1156,312,Van,Rainy,High,MarineXpress,32.2,7.72,11,196.8,10.18,42.91,1,Delayed,Paid
5092,11/01/2023,Port Harcourt,Frozen Fish,1156,634,Motorcycle,Sunny,Medium,EcoMove,27.2,13.43,13.43,0,4.98,178.23,5,On-Time,Paid
5093,12/07/2023,Lagos,Frozen Fish,811,630,Truck,Sunny,Medium,EcoMove,35.9,10.45,10.45,0,6.91,127.64,4.9,On-Time,Paid
5094,04/02/2024,Port Harcourt,Frozen Fish,398,536,Truck,Sunny,Low,BlueWave Logistics,24,10.77,10.77,0,5.34,140.52,4.2,On-Time,Paid
5095,02/05/2024,Enugu,Frozen Fish,344,233,Van,Stormy,Low,BlueWave Logistics,27.6,5.35,7.12,106.2,9.75,33.46,1.1,Delayed,Paid
5096,31/07/2023,Enugu,Fresh Fish,237,517,Van,Sunny,Medium,BlueWave Logistics,23.2,11.98,11.98,0,5.96,121.44,4.4,On-Time,Paid
5097,07/06/2023,Benin,Frozen Fish,1491,795,Truck,Sunny,Low,BlueWave Logistics,32.6,19.26,19.26,0,7.71,144.36,5,On-Time,Paid
5098,16/01/2024,Enugu,Frozen Fish,876,24,Truck,Sunny,High,MarineXpress,28.6,0.46,2.36,114,6.42,5.23,1,Delayed,Paid
5099,30/11/2023,Kano,Frozen Fish,945,264,Truck,Stormy,High,MarineXpress,27.9,4.2,6.86,159.6,9.22,40.09,1,Delayed,Paid
5100,07/07/2024,Enugu,Fresh Fish,951,759,Truck,Rainy,Low,EcoMove,28.6,12.67,13.98,78.6,7.64,139.08,2.3,Delayed,Paid
5101,15/06/2024,Kaduna,Frozen Fish,1357,618,Motorcycle,Sunny,Low,FishFleet,24.1,12.08,12.08,0,10.76,80.41,5,On-Time,Paid
5102,23/04/2024,Benin,Frozen Fish,380,201,Van,Stormy,Medium,EcoMove,25.7,4.83,6.22,83.4,4.33,64.99,2.1,Delayed,Paid
5103,01/10/2023,Ibadan,Frozen Fish,90,394,Truck,Rainy,Low,BlueWave Logistics,36.1,8.09,9.18,65.4,4.41,125.08,2.6,Delayed,Paid
5104,19/04/2023,Enugu,Fresh Fish,1145,707,Motorcycle,Rainy,Medium,FishFleet,32.3,15.75,17.4,99,11.75,84.24,2.3,Delayed,Paid
5105,11/09/2023,Kaduna,Frozen Fish,805,350,Truck,Sunny,Low,BlueWave Logistics,31.7,7.3,7.3,0,9.09,53.91,5,On-Time,Paid
5106,31/07/2024,Kaduna,Frozen Fish,972,645,Truck,Sunny,Medium,EcoMove,34,13.6,13.6,0,9.54,94.65,4.3,On-Time,Paid
5107,31/03/2023,Kano,Frozen Fish,1382,132,Motorcycle,Rainy,Medium,EcoMove,30,1.97,3.28,78.6,11.88,15.56,2.1,Delayed,Paid
5108,13/12/2023,Benin,Frozen Fish,1452,118,Truck,Sunny,Low,BlueWave Logistics,30.1,2.45,2.45,0,10.14,16.29,5,On-Time,Paid
5109,02/07/2023,Kano,Frozen Fish,1067,211,Motorcycle,Sunny,High,BlueWave Logistics,24.6,4.46,6.17,102.6,10.02,29.48,1.9,Delayed,Pending
5110,24/02/2023,Ibadan,Fresh Fish,1340,109,Van,Stormy,Low,FishFleet,25.4,1.75,2.15,24,11.6,13.16,3.7,Delayed,Paid
5111,07/07/2024,Ibadan,Fresh Fish,288,730,Truck,Rainy,High,FishFleet,34.2,11.9,13.92,121.2,5.01,203.99,1.4,Delayed,Paid
5112,21/02/2023,Lagos,Frozen Fish,648,713,Van,Sunny,Low,BlueWave Logistics,24.9,12.64,12.64,0,11.65,85.68,4.4,On-Time,Paid
5113,30/12/2024,Ibadan,Frozen Fish,711,175,Van,Sunny,Medium,MarineXpress,26.2,4.32,4.32,0,7.83,31.29,3.8,On-Time,Paid
5114,24/02/2023,Benin,Frozen Fish,54,265,Motorcycle,Sunny,High,MarineXpress,25,4.93,7.24,138.6,6.46,57.43,1,Delayed,Paid
5115,25/10/2024,Port Harcourt,Frozen Fish,1185,326,Truck,Sunny,Low,MarineXpress,30,4.71,4.71,0,6.26,72.91,4.3,On-Time,Paid
5116,21/03/2023,Port Harcourt,Frozen Fish,367,782,Motorcycle,Rainy,Medium,EcoMove,29.5,13.98,14.97,59.4,5.58,196.2,3,Delayed,Paid
5117,13/09/2024,Benin,Fresh Fish,720,168,Motorcycle,Stormy,Low,FishFleet,29.2,4.16,4.55,23.4,11.83,19.88,3.6,Delayed,Pending
5118,04/12/2023,Kano,Frozen Fish,96,242,Truck,Sunny,Low,EcoMove,20,4.84,4.84,0,4.37,77.53,4.5,On-Time,Paid
5119,25/04/2023,Kaduna,Fresh Fish,1366,679,Truck,Sunny,Low,BlueWave Logistics,29.5,10.47,10.47,0,8,118.82,4.8,On-Time,Paid
5120,27/09/2023,Lagos,Frozen Fish,1440,539,Truck,Sunny,Medium,MarineXpress,31.5,8.44,8.44,0,8.72,86.54,4.4,On-Time,Paid
5121,21/11/2024,Port Harcourt,Frozen Fish,1099,706,Truck,Rainy,Medium,FishFleet,31.7,13.21,13.96,45,6.39,154.68,4.2,Delayed,Paid
5122,14/01/2024,Port Harcourt,Frozen Fish,1288,307,Truck,Sunny,Medium,FishFleet,26.2,4.78,4.78,0,6.35,67.69,5,On-Time,Paid
5123,22/09/2024,Ibadan,Frozen Fish,348,169,Truck,Rainy,Low,BlueWave Logistics,34.6,2.86,3.74,52.8,8.03,29.46,2.9,Delayed,Paid
5124,17/08/2024,Kaduna,Fresh Fish,110,423,Van,Sunny,Low,BlueWave Logistics,30.8,6.33,6.33,0,10.24,57.83,5,On-Time,Paid
5125,10/02/2024,Kano,Fresh Fish,1495,244,Truck,Sunny,Medium,FishFleet,29,4.29,4.29,0,6.27,54.48,5,On-Time,Paid
5126,28/12/2023,Enugu,Frozen Fish,1047,556,Motorcycle,Stormy,Low,EcoMove,33.9,8.07,9.32,75,7.69,101.22,2.7,Delayed,Paid
5127,03/01/2023,Lagos,Fresh Fish,433,532,Van,Sunny,Medium,BlueWave Logistics,28.2,7.71,7.71,0,4.9,152,5,On-Time,Paid
5128,22/01/2024,Benin,Frozen Fish,1489,201,Truck,Sunny,Low,BlueWave Logistics,33.5,3.62,3.62,0,4.17,67.48,4.1,On-Time,Paid
5129,01/05/2023,Kaduna,Fresh Fish,805,271,Truck,Sunny,Medium,FishFleet,29.3,4.67,4.67,0,4.68,81.07,4.5,On-Time,Paid
5130,30/09/2024,Kano,Fresh Fish,625,55,Van,Sunny,Medium,MarineXpress,24.3,1.1,1.1,0,9.06,8.5,5,On-Time,Paid
5131,29/05/2024,Kano,Fresh Fish,1016,737,Van,Sunny,High,MarineXpress,29.6,15.46,16.43,58.2,4.65,221.89,2.8,Delayed,Paid
5132,09/05/2024,Lagos,Frozen Fish,1473,372,Van,Stormy,Medium,MarineXpress,35,7.54,9.1,93.6,10.67,48.81,1.2,Delayed,Pending
5133,08/12/2024,Lagos,Fresh Fish,226,370,Truck,Sunny,Medium,EcoMove,27.3,5.38,5.38,0,5.9,87.8,4.3,On-Time,Pending
5134,31/08/2023,Ibadan,Fresh Fish,142,463,Motorcycle,Sunny,Medium,FishFleet,29.8,7.4,7.4,0,7.59,85.4,4.7,On-Time,Paid
5135,13/05/2024,Ibadan,Frozen Fish,325,242,Truck,Sunny,Medium,EcoMove,29.6,3.46,3.46,0,9.3,36.43,4.8,On-Time,Paid
5136,23/01/2023,Benin,Frozen Fish,583,340,Truck,Sunny,Medium,FishFleet,26.1,6.97,6.97,0,9.09,52.37,4.5,On-Time,Paid
5137,17/06/2023,Benin,Frozen Fish,232,349,Van,Sunny,Medium,MarineXpress,26.3,6.01,6.01,0,9.33,52.37,4.6,On-Time,Paid
5138,31/03/2023,Lagos,Frozen Fish,913,327,Van,Sunny,Low,BlueWave Logistics,29.9,6.96,6.96,0,11.16,41.02,5,On-Time,Paid
5139,17/10/2023,Lagos,Frozen Fish,461,711,Van,Sunny,Medium,MarineXpress,30.8,10.43,10.43,0,5.82,171.03,3.9,On-Time,Paid
5140,19/01/2024,Kaduna,Frozen Fish,1104,69,Truck,Rainy,Medium,BlueWave Logistics,26.9,1.26,2.49,73.8,5.75,16.8,3.5,Delayed,Paid
5141,21/03/2024,Ibadan,Frozen Fish,264,16,Truck,Rainy,Low,BlueWave Logistics,36.8,0.37,0.93,33.6,7.99,2.8,3.1,Delayed,Paid
5142,09/07/2024,Kano,Frozen Fish,1028,356,Truck,Sunny,Medium,EcoMove,31.2,8.05,8.05,0,10.54,47.29,5,On-Time,Paid
5143,23/04/2023,Port Harcourt,Fresh Fish,401,794,Van,Sunny,Medium,BlueWave Logistics,25.9,14.59,14.59,0,8.75,127.04,5,On-Time,Paid
5144,01/01/2023,Port Harcourt,Frozen Fish,1285,336,Van,Stormy,Medium,FishFleet,34,5.96,6.91,57,4.36,107.89,3.7,Delayed,Paid
5145,20/01/2024,Port Harcourt,Fresh Fish,1258,554,Van,Sunny,Medium,MarineXpress,33.2,9.14,9.14,0,5.85,132.58,4.3,On-Time,Paid
5146,29/12/2024,Ibadan,Frozen Fish,976,171,Motorcycle,Sunny,Medium,FishFleet,37.4,2.57,2.57,0,11.58,20.67,4.8,On-Time,Paid
5147,09/09/2024,Ibadan,Fresh Fish,1244,746,Truck,Sunny,Medium,MarineXpress,29.9,14.59,14.59,0,10.02,104.23,5,On-Time,Paid
5148,29/03/2024,Lagos,Frozen Fish,281,448,Van,Rainy,Low,BlueWave Logistics,29.4,7.62,8.76,68.4,8.36,75.02,2.5,Delayed,Paid
5149,19/03/2023,Port Harcourt,Frozen Fish,1147,621,Truck,Sunny,Medium,BlueWave Logistics,32.2,11.53,11.53,0,7.83,111.03,4.5,On-Time,Paid
5150,08/08/2023,Lagos,Frozen Fish,302,601,Van,Sunny,Medium,BlueWave Logistics,31.1,12.14,12.14,0,11.18,75.26,5,On-Time,Paid
5151,08/04/2024,Ibadan,Fresh Fish,954,194,Van,Sunny,Medium,FishFleet,28.8,4.49,4.49,0,8.07,33.66,5,On-Time,Paid
5152,16/10/2024,Enugu,Fresh Fish,1371,96,Van,Sunny,Medium,MarineXpress,28.4,1.81,1.81,0,5.72,23.5,4.1,On-Time,Paid
5153,13/12/2023,Enugu,Fresh Fish,1147,671,Truck,Stormy,Medium,MarineXpress,28.8,11.08,12.38,78,4.14,226.91,2.8,Delayed,Paid
5154,01/12/2024,Benin,Frozen Fish,483,531,Truck,Sunny,Medium,BlueWave Logistics,30.8,12.45,12.45,0,8.41,88.39,5,On-Time,Paid
5155,23/03/2024,Ibadan,Frozen Fish,790,100,Motorcycle,Sunny,High,FishFleet,29.2,2.13,2.98,51,6.82,20.53,4,Delayed,Paid
5156,11/05/2023,Port Harcourt,Frozen Fish,1272,230,Motorcycle,Sunny,High,BlueWave Logistics,22.1,3.49,4.5,60.6,7.76,41.49,2.9,Delayed,Paid
5157,21/12/2024,Enugu,Frozen Fish,773,504,Truck,Sunny,Low,BlueWave Logistics,31.3,12.29,12.29,0,9.81,71.93,4.8,On-Time,Pending
5158,22/08/2024,Benin,Frozen Fish,133,634,Van,Stormy,High,BlueWave Logistics,35,11.06,12.62,93.6,10.91,81.36,1.1,Delayed,Paid
5159,18/04/2024,Benin,Frozen Fish,761,203,Truck,Stormy,Medium,FishFleet,27.1,4.34,5.77,85.8,5.47,51.96,2.1,Delayed,Pending
5160,13/08/2023,Ibadan,Frozen Fish,1047,657,Van,Sunny,Low,BlueWave Logistics,30.2,10.65,10.65,0,8.4,109.5,5,On-Time,Paid
5161,19/08/2023,Benin,Frozen Fish,266,697,Van,Stormy,Low,MarineXpress,28.8,10.88,11.75,52.2,5.64,173.01,3.5,Delayed,Paid
5162,13/06/2023,Lagos,Frozen Fish,1310,171,Truck,Sunny,High,FishFleet,31.7,3.38,5.19,108.6,4.96,48.27,1,Delayed,Paid
5163,28/12/2024,Lagos,Fresh Fish,560,119,Truck,Sunny,High,FishFleet,33.5,2.16,4.53,142.2,11.3,14.74,1,Delayed,Paid
5164,14/11/2024,Lagos,Frozen Fish,307,110,Van,Sunny,High,EcoMove,34.3,2.46,3.35,53.4,7.12,21.63,4,Delayed,Pending
5165,17/10/2023,Kano,Fresh Fish,278,8,Truck,Sunny,Medium,BlueWave Logistics,27.9,0.13,0.13,0,6.93,1.62,5,On-Time,Paid
5166,24/10/2023,Lagos,Frozen Fish,347,249,Van,Rainy,Low,MarineXpress,31.4,4.35,5.72,82.2,9.85,35.39,2.3,Delayed,Paid
5167,06/12/2024,Port Harcourt,Frozen Fish,667,793,Truck,Sunny,Low,EcoMove,37.1,18.08,18.08,0,7.42,149.62,4.9,On-Time,Paid
5168,28/03/2024,Lagos,Fresh Fish,554,144,Motorcycle,Sunny,High,EcoMove,28,3.23,4.81,94.8,4.72,42.71,1,Delayed,Paid
5169,11/08/2023,Ibadan,Fresh Fish,700,81,Truck,Rainy,Medium,MarineXpress,29.8,1.68,2,19.2,11.66,9.73,5,Delayed,Paid
5170,03/06/2024,Enugu,Fresh Fish,489,54,Truck,Sunny,Low,BlueWave Logistics,29.1,1.01,1.01,0,9.95,7.6,4.8,On-Time,Paid
5171,11/05/2023,Port Harcourt,Fresh Fish,222,657,Truck,Sunny,Low,MarineXpress,34,10.12,10.12,0,7.15,128.64,4.3,On-Time,Paid
5172,30/11/2023,Enugu,Fresh Fish,990,696,Motorcycle,Sunny,Low,FishFleet,27.6,15.86,15.86,0,8.03,121.34,4.9,On-Time,Pending
5173,07/10/2024,Lagos,Fresh Fish,718,479,Truck,Sunny,Low,MarineXpress,40.7,7.16,7.16,0,5.63,119.11,4.5,On-Time,Paid
5174,14/08/2024,Lagos,Fresh Fish,211,352,Van,Sunny,Medium,FishFleet,33.1,5.34,5.34,0,10.61,46.45,5,On-Time,Paid
5175,21/11/2023,Lagos,Fresh Fish,656,489,Truck,Sunny,Low,MarineXpress,29.9,9.97,9.97,0,5.26,130.15,5,On-Time,Paid
5176,25/07/2023,Benin,Frozen Fish,907,212,Truck,Sunny,Low,FishFleet,36.7,3.09,3.09,0,10.75,27.61,5,On-Time,Paid
5177,20/06/2024,Ibadan,Fresh Fish,69,633,Van,Sunny,Medium,BlueWave Logistics,24.5,12.14,12.14,0,9.12,97.17,4.8,On-Time,Paid
5178,10/01/2024,Ibadan,Frozen Fish,1145,665,Truck,Sunny,Medium,FishFleet,25.4,12.4,12.4,0,10.71,86.93,5,On-Time,Paid
5179,21/11/2023,Ibadan,Fresh Fish,631,187,Motorcycle,Sunny,Medium,FishFleet,29.1,3.48,3.48,0,5.28,49.58,5,On-Time,Paid
5180,04/12/2023,Enugu,Frozen Fish,451,526,Van,Sunny,Low,BlueWave Logistics,29.8,9.99,9.99,0,8.61,85.53,4.6,On-Time,Paid
5181,15/05/2023,Port Harcourt,Frozen Fish,761,635,Truck,Sunny,Medium,MarineXpress,29.3,14.61,14.61,0,11.75,75.66,4.5,On-Time,Paid
5182,07/05/2024,Port Harcourt,Fresh Fish,1446,96,Truck,Stormy,Medium,MarineXpress,33.1,1.91,3.46,93,11.84,11.35,1.9,Delayed,Paid
5183,13/09/2024,Kano,Frozen Fish,357,673,Truck,Stormy,Low,EcoMove,26.8,11.47,13.09,97.2,4.09,230.37,2.5,Delayed,Pending
5184,13/04/2023,Enugu,Fresh Fish,1357,115,Truck,Stormy,Low,FishFleet,32.6,1.93,2.37,26.4,6.79,23.71,4.1,Delayed,Pending
5185,31/12/2023,Ibadan,Frozen Fish,1418,399,Truck,Sunny,Medium,MarineXpress,30.6,8.1,8.1,0,11.05,50.55,4.6,On-Time,Paid
5186,03/08/2024,Kaduna,Frozen Fish,1349,34,Truck,Sunny,Medium,MarineXpress,33.6,0.7,0.7,0,11.31,4.21,5,On-Time,Paid
5187,24/03/2024,Kano,Fresh Fish,1399,684,Motorcycle,Rainy,Low,EcoMove,32.1,13.94,15.42,88.8,4.88,196.23,1.6,Delayed,Pending
